회계연도,지역명,행사축제명,총비용,사업수익,순원가,시작월,종료월,index
2018,강원,강원국제미술전람회,2247389000,979182000,1268207000,2,3,강원국제미술전람회2018
2018,강원,평화지역 상설 문화공연,2500000000,0,2500000000,10,12,평화지역 상설 문화공연2018
2018,강원,강원 K-POP페스티벌,2971881000,1485940000,1485941000,2,3,강원 K-POP페스티벌2018
2018,강원,올림픽 성공기념 국민감사 대축제(방송광고),2358569000,1179284000,1179285000,4,4,올림픽 성공기념 국민감사 대축제(방송광고)2018
2018,강원,문화올림픽 문화패럴림픽 개막축제,1072900000,536450000,536450000,2,2,문화올림픽 문화패럴림픽 개막축제2018
2018,강원,2018 문화올림픽 문화예술공연,3229497000,1614748000,1614749000,2,3,2018 문화올림픽 문화예술공연2018
2018,강원,남북강원도 PEACE WEEK(2019 평창평화포럼),1100000000,0,1100000000,2,2,남북강원도 PEACE WEEK(2019 평창평화포럼)2018
2018,강원,춘천마임축제,603904212,103981690,499922522,5,5,춘천마임축제2018
2018,강원,춘천인형극제,539469216,200000000,339469216,9,10,춘천인형극제2018
2018,강원,춘천국제연극제,328946081,148946081,180000000,6,6,춘천국제연극제2018
2018,강원,춘천 국제레저대회,1600000000,300000000,1300000000,8,8,춘천 국제레저대회2018
2018,강원,춘천향토음식축제,459421000,0,459421000,8,9,춘천향토음식축제2018
2018,강원,춘천가족음악축제,399715838,0,399715838,9,9,춘천가족음악축제2018
2018,강원,제1회 춘천세계불꽃축제,307483510,199864282,107619228,7,7,제1회 춘천세계불꽃축제2018
2018,강원,장난감축제(토이페스티벌),399896400,0,399896400,10,10,장난감축제(토이페스티벌)2018
2018,강원,2018 IDO 총회 및 월드댄스컵대회,399575700,200000000,199575700,8,8,2018 IDO 총회 및 월드댄스컵대회2018
2018,강원,원주다이내믹댄싱카니발,1528653140,0,1528653140,9,9,원주다이내믹댄싱카니발2018
2018,강원,강릉 단오제,1444960500,250000000,1194960500,5,6,강릉 단오제2018
2018,강원,강릉커피축제,390445000,40000000,350445000,10,10,강릉커피축제2018
2018,강원,경포썸머페스티벌,342104520,0,342104520,7,8,경포썸머페스티벌2018
2018,강원,문화재 야행,718844000,539133000,179711000,8,9,문화재 야행2018
2018,강원,2018년 강릉푸드페스티벌 행사,512922990,0,512922990,2,2,2018년 강릉푸드페스티벌 행사2018
2018,강원,태백산눈축제,1277949000,108500000,1169449000,1,2,태백산눈축제2018
2018,강원,전국추계대학축구연맹전,384000000,0,384000000,8,8,전국추계대학축구연맹전2018
2018,강원,"한강,낙동강 발원지축제",721518690,0,721518690,7,8,"한강,낙동강 발원지축제2018"
2018,강원,설악문화제,630863250,5000000,625863250,9,12,설악문화제2018
2018,강원,제18회 세계한민족여성네트워크 대회,307932860,92700000,215232860,8,8,제18회 세계한민족여성네트워크 대회2018
2018,강원,이사부역사문화축전,400000000,0,400000000,9,9,이사부역사문화축전2018
2018,강원,기줄다리기와 함께하는 삼척정월대보름제,602511940,0,602511940,2,2,기줄다리기와 함께하는 삼척정월대보름제2018
2018,강원,삼척 황영조 국제마라톤대회,349674000,0,349674000,4,4,삼척 황영조 국제마라톤대회2018
2018,강원,치어업 삼척 스포츠문화 관광산업 육성 프로젝트,600000000,450000000,150000000,8,9,치어업 삼척 스포츠문화 관광산업 육성 프로젝트2018
2018,강원,홍천 무궁화축제,387958740,0,387958740,10,10,홍천 무궁화축제2018
2018,강원,홍천강 인삼송어축제,1498830370,0,1498830370,1,1,홍천강 인삼송어축제2018
2018,강원,홍천강 별빛음악맥주축제,449183420,0,449183420,8,8,홍천강 별빛음악맥주축제2018
2018,강원,횡성한우축제,2029171000,40000000,1989171000,10,10,횡성한우축제2018
2018,강원,2018 설날씨름대회(도),350000000,0,350000000,2,2,2018 설날씨름대회(도)2018
2018,강원,동강국제사진제,553363000,0,553363000,6,9,동강국제사진제2018
2018,강원,단종문화제,880000000,155000000,725000000,4,4,단종문화제2018
2018,강원,김삿갓문화제,343000000,0,343000000,10,10,김삿갓문화제2018
2018,강원,제53회 강원도민체육대회,1000000000,0,1000000000,6,6,제53회 강원도민체육대회2018
2018,강원,오대산문화축전,400000000,200000000,200000000,10,10,오대산문화축전2018
2018,강원,대관령눈꽃축제,348000000,0,348000000,2,2,대관령눈꽃축제2018
2018,강원,평창송어축제,654000000,110000000,544000000,12,2,평창송어축제2018
2018,강원,평창효석문화제,883000000,260000000,623000000,9,9,평창효석문화제2018
2018,강원,"대한민국 아리랑 대축제, 정선아리랑제",709000000,0,709000000,10,10,"대한민국 아리랑 대축제, 정선아리랑제2018"
2018,강원,고드름축제,1135849700,0,1135849700,2,2,고드름축제2018
2018,강원,전국 5일장 박람회,594300000,0,594300000,6,6,전국 5일장 박람회2018
2018,강원,철원화강 다슬기축제,721681650,0,721681650,8,8,철원화강 다슬기축제2018
2018,강원,태봉제,692413820,0,692413820,10,10,태봉제2018
2018,강원,한탄강 얼음트레킹행사,551475220,0,551475220,1,1,한탄강 얼음트레킹행사2018
2018,강원,얼음나라 화천 산천어 축제,5147216936,0,5147216936,1,1,얼음나라 화천 산천어 축제2018
2018,강원,물의 나라 화천 쪽배 축제,516246482,0,516246482,7,8,물의 나라 화천 쪽배 축제2018
2018,강원,화천 토마토 축제,490993000,0,490993000,8,8,화천 토마토 축제2018
2018,강원,군부대 페스티벌 행사,324000000,0,324000000,9,10,군부대 페스티벌 행사2018
2018,강원,배꼽축제,431620370,0,431620370,7,7,배꼽축제2018
2018,강원,빙어축제,1499876350,0,1499876350,1,2,빙어축제2018
2018,강원,만해축전,540338581,0,540338581,8,8,만해축전2018
2018,강원,2018 대한민국 산림문화박람회,1500000000,0,1500000000,10,10,2018 대한민국 산림문화박람회2018
2018,강원,고성명태축제,598080000,0,598080000,10,10,고성명태축제2018
2018,강원,양양 송이 축제,529505980,26735350,502770630,9,10,양양 송이 축제2018
2018,강원,양양 연어 축제,482858940,87554880,395304060,10,10,양양 연어 축제2018
2018,강원,양양문화제,449480530,0,449480530,6,6,양양문화제2018
2018,충북,솔라페스티벌,753127740,55000000,698127740,9,9,솔라페스티벌2018
2018,충북,중국인유학생페스티벌,997260380,400000000,597260380,9,9,중국인유학생페스티벌2018
2018,충북,오송화장품뷰티산업엑스포,2492672797,800000000,1692672797,10,10,오송화장품뷰티산업엑스포2018
2018,충북,제12회 전국장애학생체육대회,902617280,0,902617280,5,5,제12회 전국장애학생체육대회2018
2018,충북,2018년 제47회 전국소년체육대회,2869305020,0,2869305020,5,5,2018년 제47회 전국소년체육대회2018
2018,충북,충주세계소방관경기대회,5272072380,0,5272072380,9,9,충주세계소방관경기대회2018
2018,충북,충주호수축제,790679160,0,790679160,8,8,충주호수축제2018
2018,충북,우륵문화제,300000000,0,300000000,9,9,우륵문화제2018
2018,충북,농업경영인 대회 행사 지원,500000000,0,500000000,8,8,농업경영인 대회 행사 지원2018
2018,충북,국제무예연무대회,379947000,0,379947000,10,10,국제무예연무대회2018
2018,충북,제천국제음악영화제,1980000000,400000000,1580000000,8,8,제천국제음악영화제2018
2018,충북,추계 한국중등(U-15)축구연맹전,600000000,0,600000000,8,8,추계 한국중등(U-15)축구연맹전2018
2018,충북,제천한방바이오박람회,1380000000,360000000,1020000000,10,10,제천한방바이오박람회2018
2018,충북,청원생명축제,2493537710,46022330,2447515380,10,10,청원생명축제2018
2018,충북,세종대왕과 초정약수 축제,576254900,30000000,546254900,5,5,세종대왕과 초정약수 축제2018
2018,충북,제27회 전국무용제,599965792,0,599965792,8,9,제27회 전국무용제2018
2018,충북,청원생명축제 지원,527289346,0,527289346,9,10,청원생명축제 지원2018
2018,충북,보은대추축제,837807010,0,837807010,10,10,보은대추축제2018
2018,충북,보은장사 씨름대회,340000000,0,340000000,6,6,보은장사 씨름대회2018
2018,충북,지용제,326000000,0,326000000,5,5,지용제2018
2018,충북,향수옥천 포도복숭아 축제,374000000,0,374000000,7,7,향수옥천 포도복숭아 축제2018
2018,충북,영동난계국악축제,1149290650,190000000,959290650,10,10,영동난계국악축제2018
2018,충북,영동포도축제,903137940,0,903137940,8,8,영동포도축제2018
2018,충북,대한민국와인축제,353740000,0,353740000,10,10,대한민국와인축제2018
2018,충북,영동 곶감 축제,469918020,0,469918020,12,12,영동 곶감 축제2018
2018,충북,생거진천 문화축제,426091060,0,426091060,10,10,생거진천 문화축제2018
2018,충북,솔라 페스티벌,756332240,0,756332240,9,9,솔라 페스티벌2018
2018,충북,괴산고추축제,0,0,0,8,9,괴산고추축제2018
2018,충북,음성품바축제,657099900,160000000,497099900,5,5,음성품바축제2018
2018,충북,음성인삼축제,355000000,0,355000000,10,10,음성인삼축제2018
2018,충북,소백산철쭉제,450000000,0,450000000,5,5,소백산철쭉제2018
2018,충북,온달문화축제,550000000,0,550000000,10,10,온달문화축제2018
2018,충북,증평인삼골축제,325000000,30000000,295000000,10,10,증평인삼골축제2018
2018,충남,백제문화제,1780000000,0,1780000000,9,9,백제문화제2018
2018,충남,2018전국생활체육대축전,2317538190,0,2317538190,5,5,2018전국생활체육대축전2018
2018,충남,천안흥타령춤축제,2547171521,400000000,2147171521,9,9,천안흥타령춤축제2018
2018,충남,천안시민체육대회,654673911,0,654673911,10,10,천안시민체육대회2018
