그룹명,구분명,구분값,index
비축제기간,내비게이션 검색량,0.1335558252427184,금산인삼축제2023
비축제기간,관광소비,0.6527254845020375,금산인삼축제2023
비축제기간,축제지 집중률,0.543397290844728,금산인삼축제2023
축제기간,외부방문자 유입,0.4980149050705071,금산인삼축제2022
축제기간,현지인방문자 유입,0.8833933903016576,금산인삼축제2022
축제기간,내비게이션 검색량,0.4806022003474233,금산인삼축제2022
축제기간,관광소비,0.746487641549093,금산인삼축제2022
축제기간,축제지 집중률,0.8838125601675475,금산인삼축제2022
비축제기간,외부방문자 유입,0.2110829505945554,금산인삼축제2022
비축제기간,현지인방문자 유입,0.7918845876660145,금산인삼축제2022
비축제기간,내비게이션 검색량,0.20203025477707,금산인삼축제2022
비축제기간,관광소비,0.5873454159637208,금산인삼축제2022
비축제기간,축제지 집중률,0.4969584821373173,금산인삼축제2022
축제기간,외부방문자 유입,0.6473910709263978,금산인삼축제2019
축제기간,현지인방문자 유입,0.8733123194116102,금산인삼축제2019
축제기간,내비게이션 검색량,0.5685185185185185,금산인삼축제2019
축제기간,관광소비,0.7965222929955021,금산인삼축제2019
축제기간,축제지 집중률,0.9025904997966984,금산인삼축제2019
