,Festival,name_year,month,year,visitors,cost,date,visit/cost,target
152,여주오곡나루축제,여주오곡나루축제2018,10,2018,86400,908229000.0,2018-10-01,9.513019293592255e-05,old
153,여주오곡나루축제,여주오곡나루축제2022,10,2022,114874,904781000.0,2022-10-01,0.00012696332040571144,old
154,여주오곡나루축제,여주오곡나루축제2023,10,2023,125512,1036454000.0,2023-10-01,0.00012109751132225839,old
155,연천구석기축제,연천전곡리 구석기축제2018,5,2018,135014,784100000.0,2018-05-01,0.00017218977171279173,family
156,연천구석기축제,연천전곡리 구석기축제2019,5,2019,134956,875365010.0,2019-05-01,0.00015417111542989363,family
157,연천구석기축제,연천전곡리 구석기축제2022,10,2022,134556,869497780.0,2022-10-01,0.00015475140143543552,family
158,연천구석기축제,연천전곡리 구석기축제2023,5,2023,134257,1780915780.0,2023-05-01,7.53864958173373e-05,family
159,영덕대게축제,영덕대게축제2018,3,2018,92396,640000000.0,2018-03-01,0.00014436875,old
160,영덕대게축제,영덕대게축제2019,3,2019,89175,740000000.0,2019-03-01,0.00012050675675675676,old
161,영덕대게축제,영덕대게축제2023,2,2023,112356,670000.0,2023-02-01,0.1676955223880597,old
162,영도다리축제,영도다리축제2018,10,2018,101048,305000000.0,2018-10-01,0.00033130491803278687,old
163,영도다리축제,영도다리축제2019,10,2019,86737,332500000.0,2019-10-01,0.00026086315789473685,old
164,영도다리축제,영도다리축제2022,10,2022,98801,432500000.0,2022-10-01,0.00022844161849710983,old
165,영도다리축제,영도다리축제2023,10,2023,98560,413500000.0,2023-10-01,0.00023835550181378477,old
166,영동난계국악축제,영동난계국악축제2018,10,2018,137847,1149290650.0,2018-10-01,0.00011994093922194529,old
167,영동난계국악축제,영동난계국악축제2019,10,2019,134319,1110000000.0,2019-10-01,0.00012100810810810811,old
168,영동난계국악축제,영동난계국악축제2023,10,2023,149216,1099199780.0,2023-10-01,0.0001357496632686735,old
169,영산강서창들녘억새축제,영산강 서창들녘 억새축제2023,10,2023,211597,372077800.0,2023-10-01,0.0005686902040379727,old
170,영암왕인문화축제,왕인문화 축제2018,4,2018,58117,970000000.0,2018-04-01,5.991443298969072e-05,old
171,영암왕인문화축제,왕인문화 축제2019,4,2019,100959,980000000.0,2019-04-01,0.00010301938775510205,old
172,영암왕인문화축제,왕인문화 축제2023,3,2023,122166,989998200.0,2023-03-01,0.0001234002243640443,old
173,영주풍기인삼축제,영주풍기인삼축제2018,10,2018,247672,740000000.0,2018-10-01,0.0003346918918918919,old
174,영주풍기인삼축제,영주풍기인삼축제2019,10,2019,40604,950000000.0,2019-10-01,4.274105263157895e-05,old
175,영주풍기인삼축제,영주풍기인삼축제2023,10,2023,192055,810000000.0,2023-10-01,0.00023710493827160494,old
176,울산고래축제,울산고래축제2018,7,2018,138105,1513174000.0,2018-07-01,9.126841989090481e-05,old
177,울산고래축제,울산고래축제2019,6,2019,105532,1449175340.0,2019-06-01,7.282210584676385e-05,old
