,Festival,name_year,month,year,visitors,cost,date,visit/cost,target,Fe_festival_conc,Fe_foreigner,Fe_local,Fe_navi,Fe_tour_fee,non_festival_conc,non_foreigner,non_local,non_navi,non_tour_fee,축제기간(일),도,index_y
95,부안마실축제,부안마실축제2018,5,2018,117697,886684960.0,2018-05-01,0.0001327382388441,old,0.732333950681901,0.6534747386796761,0.9197171855399704,0.601145038167939,0.8112744532554498,0.4726828859516942,0.2347434653913296,0.810119454897936,0.2227258269720101,0.5606289779739526,3.0,전북,부안마실축제2018
96,부안마실축제,부안마실축제2019,5,2019,125585,906075000.0,2019-05-01,0.0001386033165024,old,0.802367678644254,0.7942363368900659,0.9478609625668448,0.7330282227307399,0.8414204199393425,0.4948567208228669,0.240536829684585,0.7767101158645277,0.1704805491990846,0.4901441861439959,3.0,전북,부안마실축제2019
97,부안마실축제,부안마실축제2023,5,2023,103738,1090204320.0,2023-05-01,9.515464037053164e-05,old,0.8284761883261957,0.4908745667830501,0.8612270544410036,0.5270546197039306,0.5239237254094875,0.5444970772061055,0.2463377952129259,0.8065448139670571,0.2447996426748341,0.4645896872843907,3.0,전북,부안마실축제2023
98,부천국제만화축제,부천국제만화축제2019,8,2019,628997,724273000.0,2019-08-01,0.0008684529176153,family,0.8514668401784965,0.6821513256902239,0.7762684377171982,0.7304831885994211,0.7076722932970541,0.8144388096356545,0.6365985128053049,0.75103482894432,0.5730015586729014,0.6866862310343782,5.0,경기,부천국제만화축제2019
99,부천국제만화축제,부천국제만화축제2022,9,2022,497588,494486717.0,2022-09-01,0.0010062717215516,family,0.9112075445773424,0.7642221883929032,0.8850932857088574,0.7116579791499599,0.6992667892052808,0.8636217448385354,0.7386553840193189,0.8880405251358438,0.5715028568564555,0.6845453049971592,4.0,경기,부천국제만화축제2022
100,부천국제만화축제,부천국제만화축제2023,9,2023,482310,680039619.0,2023-09-01,0.000709238089259,family,0.8296378685568608,0.6705993574601422,0.8731965734896303,0.6374247674630676,0.7203971352098165,0.8002464093387224,0.6496152926242434,0.8520250976856026,0.5587155754149188,0.693165814060788,4.0,경기,부천국제만화축제2023
101,부평풍물대축제,부평풍물대축제2018,10,2018,276220,625851010.0,2018-10-01,0.0004413510493495,youth,0.9272621851839972,0.8012970387828368,0.9057213132285318,0.6488240064882401,0.6676327321321261,0.7408302115871033,0.6482885598299827,0.6994733183616726,0.5819140308191403,0.6799456773076286,3.0,인천,부평풍물대축제2018
102,부평풍물대축제,부평풍물대축제2022,9,2022,271054,599488840.0,2022-09-01,0.0004521418613897,youth,0.8811968093758263,0.806579934539545,0.8469511963178517,0.7959183673469388,0.7130257629879612,0.7130011631561011,0.6405546038851259,0.6468270949826924,0.704527048914804,0.6967383845194454,3.0,인천,부평풍물대축제2022
103,부평풍물대축제,부평풍물대축제2023,9,2023,259628,703710000.0,2023-09-01,0.0003689417515738,youth,0.912249343096288,0.7926226361002706,0.8862062269402551,0.8054020871700429,0.6151490513265732,0.7933462153377115,0.6198818245944826,0.6650592271344423,0.676488643339472,0.5781954693572352,3.0,인천,부평풍물대축제2023
104,산청한방약초축제,산청한방약초축제2018,9,2018,86886,2034511832.0,2018-09-01,4.270606768336553e-05,old,0.8930729544885448,0.4399713896253688,0.611389902676399,0.3958868894601542,0.4876185360875799,0.5560933640712484,0.2965841684267289,0.4594358272506083,0.2083868894601542,0.507987834023852,12.0,경남,산청한방약초축제2018
105,산청한방약초축제,산청한방약초축제2019,9,2019,88394,2167000000.0,2019-09-01,4.079095523765575e-05,old,0.7727834935311152,0.4431033511898282,0.75776453593355,0.369990156096189,0.4899188723518809,0.5036441021804242,0.2734371187350544,0.5970115565185987,0.1829911404865701,0.4609233813126922,13.0,경남,산청한방약초축제2019
106,산청한방약초축제,산청한방약초축제2022,9,2022,125311,2394390740.0,2022-09-01,5.233523413977119e-05,old,0.8797690015203583,0.4645364580554961,0.8257703510654607,0.419496935648621,0.6696071407835829,0.5311505652844466,0.2221353528966778,0.5943775869998467,0.1645173646578141,0.5483716891161378,11.0,경남,산청한방약초축제2022
